Titular,Cuerpo,Categoría,longitud_titular,longitud_cuerpo,texto_completo
"El Real Madrid vence al Barcelona en la Final de LaLiga, 3-1","En un partido lleno de emoción, el Real Madrid logró una victoria contundente sobre su rival histórico, el Barcelona. Los goles llegaron a lo largo del encuentro: Vinícius Júnior abrió el marcador con un tiro libre magistral; luego, Karim Benzema selló la ventaja en el segundo tiempo, y finalmente, Rodrygo añadió otro gol que dejó al público enloquecido.",deportes,12,58,"El Real Madrid vence al Barcelona en la Final de LaLiga, 3-1 En un partido lleno de emoción, el Real Madrid logró una victoria contundente sobre su rival histórico, el Barcelona. Los goles llegaron a lo largo del encuentro: Vinícius Júnior abrió el marcador con un tiro libre magistral; luego, Karim Benzema selló la ventaja en el segundo tiempo, y finalmente, Rodrygo añadió otro gol que dejó al público enloquecido."
El Novak Djokovic gana su 21.º título de Grand Slam en Roland Garros,"Novak Djokovic superó a Carlos Alcaraz en una épica final de cinco sets. Con un rendimiento excepcional, el tenista serbio consolidó su posición como uno de los grandes del tenis contemporáneo y marcó otro hito en su carrera con esta victoria en París.",deportes,13,43,"El Novak Djokovic gana su 21.º título de Grand Slam en Roland Garros Novak Djokovic superó a Carlos Alcaraz en una épica final de cinco sets. Con un rendimiento excepcional, el tenista serbio consolidó su posición como uno de los grandes del tenis contemporáneo y marcó otro hito en su carrera con esta victoria en París."
El equipo femenino de fútbol de España gana la Copa Mundial 2024,"La Selección Femenina Española coronó su historia al levantar el trofeo tras vencer a Brasil en una final llena de drama. El gol decisivo llegó en tiempo extra, y los jugadores celebraron con la comunidad de la Liga Iberdrola.",deportes,12,39,"El equipo femenino de fútbol de España gana la Copa Mundial 2024 La Selección Femenina Española coronó su historia al levantar el trofeo tras vencer a Brasil en una final llena de drama. El gol decisivo llegó en tiempo extra, y los jugadores celebraron con la comunidad de la Liga Iberdrola."
El campeón mundial de atletismo se retira después del 400 metros,Usain Bolt anunció su retiro tras haber ganado el oro olímpico en Beijing. Su legado sigue inspirando a jóvenes corredores alrededor del mundo.,deportes,11,23,El campeón mundial de atletismo se retira después del 400 metros Usain Bolt anunció su retiro tras haber ganado el oro olímpico en Beijing. Su legado sigue inspirando a jóvenes corredores alrededor del mundo.
La selección argentina gana la Copa América en casa,"Argentina, bajo la dirección de Lionel Scaloni, obtuvo su primer título desde 1993 al vencer a Brasil en la final celebrada en Buenos Aires. La victoria se consolidó con un gol de Ángel Di María en el minuto 78.",deportes,9,39,"La selección argentina gana la Copa América en casa Argentina, bajo la dirección de Lionel Scaloni, obtuvo su primer título desde 1993 al vencer a Brasil en la final celebrada en Buenos Aires. La victoria se consolidó con un gol de Ángel Di María en el minuto 78."
El Manchester United alcanza la Champions League por primera vez en 5 años,"El equipo inglés llegó a la final después de una serie de remontadas, incluyendo una goleada contra el Barcelona en los cuartos de fase. La victoria del título se selló con un gol de Bruno Fernandes.",deportes,13,36,"El Manchester United alcanza la Champions League por primera vez en 5 años El equipo inglés llegó a la final después de una serie de remontadas, incluyendo una goleada contra el Barcelona en los cuartos de fase. La victoria del título se selló con un gol de Bruno Fernandes."
Los Lakers ganan su 17.º campeonato NBA tras vencer a Boston en cinco juegos,"LeBron James y Anthony Davis lideraron al equipo bajo la dirección de Frank Vogel, logrando su primer título en casi una década. El juego decisivo se cerró con un triple de James en el último minuto.",deportes,14,36,"Los Lakers ganan su 17.º campeonato NBA tras vencer a Boston en cinco juegos LeBron James y Anthony Davis lideraron al equipo bajo la dirección de Frank Vogel, logrando su primer título en casi una década. El juego decisivo se cerró con un triple de James en el último minuto."
El ciclista colombiano Nairo Quintana gana el Tour de Francia 2024,Quintana obtuvo su primer título mundial tras vencer al favorito Tadej Pogačar en los últimos tramos del Tour. La comunidad colombiana celebró la hazaña con una procesión en Bogotá.,deportes,11,29,El ciclista colombiano Nairo Quintana gana el Tour de Francia 2024 Quintana obtuvo su primer título mundial tras vencer al favorito Tadej Pogačar en los últimos tramos del Tour. La comunidad colombiana celebró la hazaña con una procesión en Bogotá.
La selección femenina de baloncesto de Estados Unidos gana la Copa Mundial,"Las estadounidenses, con un roster liderado por Breanna Stewart y Sue Bird, dominaron a Australia en la final, obteniendo su octavo título mundial. El juego se destacó por la defensa implacable del equipo americano.",deportes,12,34,"La selección femenina de baloncesto de Estados Unidos gana la Copa Mundial Las estadounidenses, con un roster liderado por Breanna Stewart y Sue Bird, dominaron a Australia en la final, obteniendo su octavo título mundial. El juego se destacó por la defensa implacable del equipo americano."
Los Lobos de Nueva Zelanda triunfan en la Copa del Mundo de Rugby,"El equipo neozelandés derrotó al Sudáfrica en la final con un try decisivo en los últimos minutos, consolidando su dominio histórico en el rugby mundial.",deportes,13,25,"Los Lobos de Nueva Zelanda triunfan en la Copa del Mundo de Rugby El equipo neozelandés derrotó al Sudáfrica en la final con un try decisivo en los últimos minutos, consolidando su dominio histórico en el rugby mundial."
